ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC040453;FEMENINO;559,0;526,0;31,0;2,0;0,055456171735241505;0,0035778175313059034;0,2182468694096601;0,7227191413237924
EC040550;FEMENINO;4241,0;3897,0;324,0;20,0;0,07639707616128272;0,004715868898844612;0,559302051402971;0,35958500353690165
EC040551;FEMENINO;1159,0;1051,0;99,0;9,0;0,08541846419327007;0,007765314926660914;0,5729076790336497;0,3339085418464193
EC040552;FEMENINO;272,0;263,0;9,0;0,0;0,03308823529411765;0,0;0,5625;0,40441176470588236
EC040553;FEMENINO;362,0;335,0;23,0;4,0;0,06353591160220995;0,011049723756906077;0,4723756906077348;0,4530386740331492
EC040554;FEMENINO;1282,0;1143,0;128,0;11,0;0,0998439937597504;0,00858034321372855;0,5405616224648986;0,35101404056162244
EC040555;FEMENINO;420,0;385,0;34,0;1,0;0,08095238095238096;0,002380952380952381;0,5166666666666667;0,4
EC040650;FEMENINO;2718,0;2556,0;156,0;6,0;0,05739514348785872;0,002207505518763797;0,6409124356144223;0,2994849153789551
EC040651;FEMENINO;550,0;507,0;41,0;1,0;0,07454545454545454;0,0018181818181818182;0,44727272727272727;0,47454545454545455
EC050150;FEMENINO;8654,0;8054,0;578,0;22,0;0,06678992373468916;0,002542177027963947;0,7443956551883522;0,18627224404899467
EC050151;FEMENINO;2889,0;2666,0;207,0;14,0;0,07165109034267912;0,004845967462789893;0,669435790931118;0,2533748701973001
EC050152;FEMENINO;2263,0;2042,0;210,0;11,0;0,09279717189571365;0,004860804242156429;0,6584180291648255;0,24392399469730447
EC050153;FEMENINO;3834,0;3563,0;258,0;13,0;0,06729264475743349;0,003390714658320292;0,5704225352112676;0,3588941053729786
EC050154;FEMENINO;782,0;738,0;41,0;3,0;0,052429667519181586;0,0038363171355498722;0,6841432225063938;0,2595907928388747
EC050156;FEMENINO;3593,0;3304,0;279,0;10,0;0,077650988032285;0,0027831895352073478;0,5622042861118842;0,35736153632062345
EC050157;FEMENINO;933,0;863,0;68,0;2,0;0,07288317256162916;0,0021436227224008574;0,6463022508038585;0,27867095391211144
EC050158;FEMENINO;2262,0;2012,0;238,0;12,0;0,10521662245800177;0,005305039787798408;0,6251105216622458;0,26436781609195403
EC050159;FEMENINO;4511,0;3993,0;484,0;34,0;0,1072932830857903;0,007537131456439814;0,5566393260917757;0,3285302593659942
EC050161;FEMENINO;5410,0;4828,0;561,0;21,0;0,10369685767097966;0,0038817005545286505;0,5597042513863216;0,33271719038817005
EC050162;FEMENINO;4734,0;4114,0;586,0;33,0;0,12378538234051542;0,00697084917617237;0,524503591043515;0,3445289395859738
EC050250;FEMENINO;1833,0;1699,0;120,0;14,0;0,06546644844517185;0,007637752318603383;0,2924168030551009;0,6344789961811238
EC050251;FEMENINO;1279,0;1200,0;70,0;9,0;0,054730258014073496;0,007036747458952306;0,5324472243940579;0,40578577013291633
EC050252;FEMENINO;991,0;945,0;40,0;6,0;0,04036326942482341;0,006054490413723511;0,5973763874873865;0,3562058526740666
EC050350;FEMENINO;2746,0;2483,0;237,0;26,0;0,0863073561544064;0,009468317552804079;0,5400582665695557;0,3641660597232338
EC050351;FEMENINO;4414,0;4060,0;322,0;32,0;0,0729497054825555;0,007249660172179429;0,5206162211146352;0,3991844132306298
EC050352;FEMENINO;340,0;304,0;27,0;9,0;0,07941176470588235;0,026470588235294117;0,49411764705882355;0,4
EC050353;FEMENINO;592,0;535,0;53,0;4,0;0,08952702702702703;0,006756756756756757;0,5658783783783784;0,33783783783783783
EC050450;FEMENINO;16153,0;14618,0;1426,0;108,0;0,08828081470934192;0,006686064508140903;0,5865164365752492;0,318454776202563
EC050451;FEMENINO;1880,0;1545,0;316,0;19,0;0,16808510638297872;0,010106382978723405;0,36861702127659574;0,4531914893617021
EC050453;FEMENINO;3502,0;2938,0;531,0;33,0;0,15162764134780127;0,009423186750428327;0,3366647629925757;0,5022844089091948
EC050455;FEMENINO;1099,0;1009,0;86,0;4,0;0,07825295723384895;0,003639672429481347;0,654231119199272;0,26387625113739765
EC050456;FEMENINO;792,0;676,0;112,0;4,0;0,1414141414141414;0,005050505050505051;0,273989898989899;0,5795454545454546
EC050457;FEMENINO;1252,0;1161,0;83,0;8,0;0,06629392971246006;0,006389776357827476;0,5079872204472844;0,4193290734824281
EC050458;FEMENINO;5680,0;4882,0;747,0;51,0;0,13151408450704224;0,00897887323943662;0,3286971830985915;0,5308098591549296
EC050550;FEMENINO;14979,0;13630,0;1277,0;72,0;0,0852526870952667;0,004806729421189666;0,6262767875025035;0,28366379598104013
EC050551;FEMENINO;1118,0;1034,0;80,0;4,0;0,07155635062611806;0,0035778175313059034;0,7128801431127012;0,21198568872987478
EC050552;FEMENINO;2763,0;2320,0;411,0;32,0;0,1487513572204126;0,01158161418747738;0,46000723850886716;0,37965979008324285
